"Line Number","Product Part","Product Name","Start Date","End Date","Net Unit Price","Max Quantity","UOM","Net Unit Price UOM","Active"
"1.126","B88399","Oracle Java Cloud Service - Enterprise - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.243","B88400","Oracle Java Cloud Service - High Performance - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.241","B88402","Oracle Database Cloud Service - Enterprise Edition Extreme Performance RAC - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.242","B88404","Oracle Database Cloud Service - All Editions - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.177","B88405","Oracle WebCenter Portal Cloud Service - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.066","B88406","Oracle Data Integrator Cloud Service - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.228","B88407","Oracle SOA Suite Cloud Service - BYOL - OCPU Per Hour","10-01-2020","09-30-2025",0.10430000,,"OCPU PER HOUR","Monthly","true"
"1.110","B88408","Oracle Database Exadata Express Cloud Service - X20 - Hosted Environment Per Hour","10-01-2020","09-30-2025",0.12670000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.088","B88409","Oracle Database Exadata Express Cloud Service - X250 - Hosted Environment Per Hour","10-01-2020","09-30-2025",0.28970000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.067","B88410","Oracle Database Exadata Express Cloud Service - X500 - Hosted Environment Per Hour","10-01-2020","09-30-2025",0.57940000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.229","B88411","Oracle Database Exadata Express Cloud Service - X1000 - Hosted Environment Per Hour","10-01-2020","09-30-2025",1.15880000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.178","B88412","Oracle Database Exadata Express Cloud Service - X1000IM - Hosted Environment Per Hour","10-01-2020","09-30-2025",2.89710000,,"HSTD ENVIRONMENT PER HOUR","Monthly","true"
"1.111","B88460","Oracle SOA Suite Cloud Service - OCPU Per Hour","10-01-2020","09-30-2025",0.52150000,,"OCPU PER HOUR","Monthly","true"
"1.244","B88461","Oracle Messaging Cloud Service - 1,000,000 API Calls per Month","10-01-2020","09-30-2025",0.13470000,,"1M API CALLS PER MONTH","Monthly","true"
"1.089","B88513","Oracle Cloud Infrastructure - Compute - Bare Metal Standard - X7 - OCPU Per Hour","10-01-2020","09-30-2025",0.03440000,,"OCPU PER HOUR","Monthly","true"
"1.148","B88514","Oracle Cloud Infrastructure - Compute - Virtual Machine Standard - X7 - OCPU Per Hour","10-01-2020","09-30-2025",0.03440000,,"OCPU PER HOUR","Monthly","true"
"1.068","B88515","Oracle Cloud Infrastructure - Compute - Bare Metal Dense I/O - X7 - OCPU Per Hour","10-01-2020","09-30-2025",0.06870000,,"OCPU PER HOUR","Monthly","true"
"1.090","B88516","Oracle Cloud Infrastructure - Compute - Virtual Machine Dense I/O - X7 - OCPU Per Hour","10-01-2020","09-30-2025",0.06870000,,"OCPU PER HOUR","Monthly","true"
